name,x,y,z,i,j,k
A1188870100_0001L.X,307.950,-699.000,607.640,-0.120,0.000,0.990,           
A1188870100_0001L.Y,307.950,-699.000,607.640,-0.120,0.000,0.990,           
A1188870100_0001L.Z,307.950,-699.000,607.640,-0.120,0.000,0.990,           
A1188870100_0001R.X,307.950,699.000,607.640,-0.120,0.000,0.990,           
A1188870100_0001R.Y,307.950,699.000,607.640,-0.120,0.000,0.990,           
A1188870100_0001R.Z,307.950,699.000,607.640,-0.120,0.000,0.990,           
A1188870100_0002L.X,226.460,-702.000,597.640,-0.120,0.000,0.990,           
A1188870100_0002L.Y,226.460,-702.000,597.640,-0.120,0.000,0.990,           
A1188870100_0002L.Z,226.460,-702.000,597.640,-0.120,0.000,0.990,           
A1188870100_0002R.X,226.460,702.000,597.640,-0.120,0.000,0.990,           
A1188870100_0002R.Y,226.460,702.000,597.640,-0.120,0.000,0.990,           
A1188870100_0002R.Z,226.460,702.000,597.640,-0.120,0.000,0.990,           
A1778870100_0001L.X,308.000,-699.000,607.650,-0.170,0.000,0.980,           
A1778870100_0001L.Y,308.000,-699.000,607.650,-0.170,0.000,0.980,           
A1778870100_0001L.Z,308.000,-699.000,607.650,-0.170,0.000,0.980,           
A1778870100_0001R.X,308.000,699.000,607.650,-0.170,0.000,0.980,           
A1778870100_0001R.Y,308.000,699.000,607.650,-0.170,0.000,0.980,           
A1778870100_0001R.Z,308.000,699.000,607.650,-0.170,0.000,0.980,           
A1778870100_0002L.X,226.590,-702.000,597.650,-0.240,0.000,0.970,           
A1778870100_0002L.Y,226.590,-702.000,597.650,-0.240,0.000,0.970,           
A1778870100_0002L.Z,226.590,-702.000,597.650,-0.240,0.000,0.970,           
A1778870100_0002R.X,226.590,702.000,597.650,-0.240,0.000,0.970,           
A1778870100_0002R.Y,226.590,702.000,597.650,-0.240,0.000,0.970,           
A1778870100_0002R.Z,226.590,702.000,597.650,-0.240,0.000,0.970,           
A1188870100_0003L.X,-605.690,-30.000,465.860,-0.100,0.000,0.990,           
A1188870100_0003L.Y,-605.690,-30.000,465.860,-0.100,0.000,0.990,           
A1188870100_0003L.Z,-605.690,-30.000,465.860,-0.100,0.000,0.990,           
A1188870100_0003R.X,-605.690,30.000,465.860,-0.100,0.000,0.990,           
A1188870100_0003R.Y,-605.690,30.000,465.860,-0.100,0.000,0.990,           
A1188870100_0003R.Z,-605.690,30.000,465.860,-0.100,0.000,0.990,           
A1778870100_0003L.X,-605.550,-30.000,465.870,-0.170,0.000,0.980,           
A1778870100_0003L.Y,-605.550,-30.000,465.870,-0.170,0.000,0.980,           
A1778870100_0003L.Z,-605.550,-30.000,465.870,-0.170,0.000,0.980,           
A1778870100_0003R.X,-605.550,30.000,465.870,-0.170,0.000,0.980,           
A1778870100_0003R.Y,-605.550,30.000,465.870,-0.170,0.000,0.980,           
A1778870100_0003R.Z,-605.550,30.000,465.870,-0.170,0.000,0.980,           
A1778870900_0003R.X,-459.280,498.720,455.640,-0.220,0.020,0.970,           
A1778870900_0003R.Y,-459.280,498.720,455.640,-0.220,0.020,0.970,           
A1778870900_0003R.Z,-459.280,498.720,455.640,-0.220,0.020,0.970,           
A1188870000_0005L.N,239.150,-5.010,668.740,0.110,0.000,-0.990,           
A1188870000_0006L.N,248.540,-170.430,668.080,0.110,0.020,-0.990,           
A1188870000_0006R.N,248.540,170.430,668.080,0.110,-0.020,-0.990,           
A1188870000_0007L.N,275.660,-340.800,666.170,0.120,0.040,-0.990,           
A1188870000_0007R.N,275.660,340.800,666.170,0.120,-0.040,-0.990,           
A1188870000_0008L.N,312.580,-491.070,663.560,0.140,0.060,-0.990,           
A1188870000_0008R.N,312.580,491.070,663.560,0.140,-0.060,-0.990,           
A1188870000_0009L.N,348.890,-606.270,661.000,0.160,0.080,-0.980,           
A1188870000_0009R.N,348.890,606.270,661.000,0.160,-0.080,-0.980,           
A1188870000_0010L.N,372.650,-754.120,644.900,0.120,0.690,-0.710,           
A1188870000_0010R.N,372.650,754.120,644.900,0.120,-0.690,-0.710,           
A1188870000_0011L.N,282.330,-783.930,595.630,0.090,0.760,-0.650,           
A1188870000_0011R.N,282.330,783.930,595.630,0.090,-0.760,-0.650,           
A1188870000_0012L.N,179.580,-793.250,570.630,0.100,0.690,-0.710,           
A1188870000_0012R.N,179.580,793.250,570.630,0.100,-0.690,-0.710,           
A1188870000_0013L.N,-50.190,-787.640,538.330,0.140,0.600,-0.780,           
A1188870000_0013R.N,-50.190,787.640,538.330,0.140,-0.600,-0.780,           
A1188870000_0014L.N,-224.990,-774.290,512.450,0.190,0.540,-0.820,           
A1188870000_0014R.N,-224.990,774.290,512.450,0.190,-0.540,-0.820,           
A1188870000_0015L.N,-359.690,-754.490,490.330,0.240,0.470,-0.850,           
A1188870000_0015R.N,-359.690,754.490,490.330,0.240,-0.470,-0.850,           
A1188870000_0016L.N,-463.840,-719.840,473.810,0.330,0.380,-0.860,           
A1188870000_0016R.N,-463.840,719.840,473.810,0.330,-0.380,-0.860,           
A1188870000_0017L.N,-547.400,-646.570,468.930,0.390,0.330,-0.860,           
A1188870000_0017R.N,-547.400,646.570,468.930,0.390,-0.330,-0.860,           
A1188870000_0018L.N,-619.810,-561.810,467.130,0.420,0.320,-0.850,           
A1188870000_0018R.N,-619.810,561.810,467.130,0.420,-0.320,-0.850,           
A1188870000_0019L.N,-649.240,-489.110,465.420,0.310,0.090,-0.950,           
A1188870000_0019R.N,-649.240,489.110,465.420,0.310,-0.090,-0.950,           
A1188870000_0020L.N,-677.990,-349.420,471.800,0.320,0.100,-0.940,           
A1188870000_0020R.N,-677.990,349.420,471.800,0.320,-0.100,-0.940,           
A1188870000_0021L.N,-687.780,-289.490,474.780,0.320,0.090,-0.940,           
A1188870000_0021R.N,-687.780,289.490,474.780,0.320,-0.090,-0.940,           
A1188870000_0022L.N,-702.640,-174.650,479.430,0.330,0.070,-0.940,           
A1188870000_0022R.N,-702.640,174.650,479.430,0.330,-0.070,-0.940,           
A1188870000_0043L.N,-438.080,-733.280,477.060,0.300,0.410,-0.860,           
A1188870000_0043R.N,-438.080,733.280,477.060,0.300,-0.410,-0.860,           
A1188870000_0051L.N,395.640,-732.590,657.190,0.160,0.100,-0.980,           
A1188870000_0051R.N,395.640,732.590,657.190,0.160,-0.100,-0.980,           
A1188870000_0052L.N,129.660,-793.020,563.450,0.110,0.670,-0.730,           
A1188870000_0052R.N,129.660,793.020,563.450,0.110,-0.670,-0.730,           
A1778870000_0005L.N,239.150,-5.010,668.740,0.110,0.000,-0.990,           
A1778870000_0006L.N,248.550,-170.430,668.080,0.110,0.020,-0.990,           
A1778870000_0006R.N,248.550,170.430,668.080,0.110,-0.020,-0.990,           
A1778870000_0007L.N,275.660,-340.800,666.170,0.120,0.040,-0.990,           
A1778870000_0007R.N,275.660,340.800,666.170,0.120,-0.040,-0.990,           
A1778870000_0008L.N,312.580,-491.070,663.560,0.140,0.060,-0.990,           
A1778870000_0008R.N,312.580,491.070,663.560,0.140,-0.060,-0.990,           
A1778870000_0009L.N,348.890,-606.270,661.000,0.160,0.080,-0.980,           
A1778870000_0009R.N,348.890,606.270,661.000,0.160,-0.080,-0.980,           
A1778870000_0010L.N,372.650,-754.120,644.900,0.120,0.690,-0.710,           
A1778870000_0010R.N,372.650,754.120,644.900,0.120,-0.690,-0.710,           
A1778870000_0011L.N,282.330,-783.930,595.630,0.090,0.760,-0.650,           
A1778870000_0011R.N,282.330,783.930,595.630,0.090,-0.760,-0.650,           
A1778870000_0012L.N,179.580,-793.250,570.630,0.100,0.690,-0.710,           
A1778870000_0012R.N,179.580,793.250,570.630,0.100,-0.690,-0.710,           
A1778870000_0013L.N,-50.190,-787.640,538.330,0.140,0.600,-0.780,           
A1778870000_0013R.N,-50.190,787.640,538.330,0.140,-0.600,-0.780,           
A1778870000_0014L.N,-224.990,-774.290,512.450,0.190,0.540,-0.820,           
A1778870000_0014R.N,-224.990,774.290,512.450,0.190,-0.540,-0.820,           
A1778870000_0015L.N,-359.690,-754.490,490.330,0.240,0.470,-0.850,           
A1778870000_0015R.N,-359.690,754.490,490.330,0.240,-0.470,-0.850,           
A1778870000_0016L.N,-463.840,-719.840,473.810,0.330,0.380,-0.860,           
